gameid,time,roundNum,score,name,draggedTo
0770-e,1438962763208,1,0,F_sadperson,1
0770-e,1438962841930,1,1,F_sadperson,2
0770-e,1438962878394,1,2,C_ghost,9
0770-e,1438962926267,1,3,I_iceskater,7
0770-e,1438962965242,1,4,D_monk,12
0770-e,1438963028826,1,6,L_egypt,11
0770-e,1438963037905,1,7,H_baby,10
0770-e,1438963205325,2,1,C_ghost,1
0770-e,1438963211057,2,2,A_bird,2
0770-e,1438963215841,2,3,F_sadperson,6
0770-e,1438963275505,2,3,H_baby,3
0770-e,1438963344732,2,4,I_iceskater,7
0770-e,1438963370002,2,5,D_monk,12
0770-e,1438963377610,2,6,D_monk,10
0770-e,1438963517117,2,7,K_waiter,12
0770-e,1438963662736,3,1,F_sadperson,6
0770-e,1438963675756,3,1,G_seal,4
0770-e,1438963695028,3,2,I_iceskater,8
0770-e,1438963702156,3,3,D_monk,9
0770-e,1438963706204,3,4,C_ghost,10
0770-e,1438963746188,3,5,A_bird,12
0770-e,1438963752668,3,5,J_compact,2
0770-e,1438963770093,3,5,B_helpbunny,3
0770-e,1438963795653,3,6,B_helpbunny,7
0770-e,1438964009799,4,1,D_monk,1
0770-e,1438964053399,4,2,B_helpbunny,2
0770-e,1438964061911,4,3,F_sadperson,4
0770-e,1438964065591,4,4,A_bird,5
0770-e,1438964070695,4,5,C_ghost,6
0770-e,1438964198897,4,5,H_baby,12
0770-e,1438964200527,4,6,H_baby,7
0770-e,1438964288425,4,7,J_compact,11
0770-e,1438964365713,4,8,L_egypt,8
0770-e,1438964419286,4,10,K_waiter,9
0770-e,1438964560018,4,12,E_bunny,12
0770-e,1438964612635,5,2,I_iceskater,6
0770-e,1438964615906,5,3,H_baby,5
0770-e,1438964625514,5,4,E_bunny,3
0770-e,1438964628578,5,5,B_helpbunny,2
0770-e,1438964636146,5,6,A_bird,7
0770-e,1438964640474,5,7,F_sadperson,8
0770-e,1438964643178,5,8,C_ghost,9
0770-e,1438964650155,5,10,K_waiter,10
0770-e,1438964661010,5,12,L_egypt,12
0770-e,1438964698571,6,1,H_baby,1
0770-e,1438964701155,6,2,C_ghost,2
0770-e,1438964703763,6,3,B_helpbunny,3
0770-e,1438964710331,6,4,L_egypt,4
0770-e,1438964713051,6,5,F_sadperson,5
0770-e,1438964715259,6,6,D_monk,6
0770-e,1438964719579,6,7,E_bunny,7
0770-e,1438964724003,6,8,I_iceskater,8
0770-e,1438964730523,6,9,K_waiter,9
0770-e,1438964733595,6,10,G_seal,10
0770-e,1438964735755,6,12,A_bird,11
